load_on_chiller,power_consumed
225.9188386,65.17360779
211.4984872,56.6546891
201.8849196,69.02568878
197.0781358,70.04829158
197.0781358,59.79732208
192.271352,57.20340279
187.4645682,51.31997261
187.4645682,55.14572643
173.0442168,75.19871786
173.0442168,44.42086783
168.237433,52.88158962
168.237433,58.92436847
168.237433,61.88271125
168.237433,59.89847385
163.4306492,51.88392835
163.4306492,52.0765324
163.4306492,62.03513172
163.4306492,61.73029078
163.4306492,61.73029078
163.4306492,25.37800843
163.4306492,29.04441358
158.6238654,59.19179712
158.6238654,51.31997261
158.6238654,39.08892263
158.6238654,39.96187623
158.6238654,43.12806511
158.6238654,38.81733706
158.6238654,39.94247726
153.8170816,59.63243084
153.8170816,41.47222454
153.8170816,41.16876923
153.8170816,39.86488139
153.8170816,40.60481349
153.8170816,40.44685046
153.8170816,40.23761872
153.8170816,38.44321408
153.8170816,39.19977388
153.8170816,40.50504737
153.8170816,27.13638641
153.8170816,39.94247726
153.8170816,26.57104503
153.8170816,42.50452682
153.8170816,40.23761872
149.0102978,39.76788654
149.0102978,44.85318771
149.0102978,69.80164755
149.0102978,42.40060377
149.0102978,41.77567984
149.0102978,41.269921
149.0102978,42.50452682
149.0102978,38.91294626
149.0102978,41.50270863
149.0102978,28.69107522
149.0102978,42.86063646
149.0102978,40.44685046
149.0102978,43.12806511
149.0102978,42.08883462
149.0102978,40.13923823
149.0102978,26.13318258
149.0102978,55.26766281
149.0102978,53.04925213
149.0102978,39.57389685
149.0102978,40.76416217
149.0102978,39.76788654
144.203514,58.79550389
144.203514,58.77887621
144.203514,52.26636517
144.203514,42.71237291
144.203514,39.57389685
144.203514,39.84409678
144.203514,41.10364412
144.203514,41.5733763
144.203514,41.269921
144.203514,42.55302424
144.203514,42.50452682
144.203514,27.15717102
144.203514,42.50452682
144.203514,54.30048564
144.203514,39.54895532
144.203514,40.30551511
144.203514,27.83752058
144.203514,46.13074839
144.203514,40.80434575
144.203514,40.90411187
139.3967302,44.20470789
139.3967302,42.60844987
139.3967302,43.88046798
139.3967302,42.96594515
139.3967302,52.06129035
139.3967302,40.6630104
139.3967302,41.02466261
139.3967302,41.5733763
139.3967302,39.28291232
139.3967302,26.57104503
139.3967302,28.76174289
139.3967302,41.30317638
139.3967302,59.60194675
139.3967302,42.14287461
139.3967302,54.27277282
139.3967302,39.94247726
139.3967302,45.00560818
139.3967302,42.50452682
134.5899464,51.8243458
134.5899464,45.79265207
134.5899464,27.7017278
134.5899464,27.20289716
134.5899464,45.68041518
134.5899464,27.76962419
134.5899464,46.80832666
134.5899464,44.55250369
134.5899464,28.12850511
134.5899464,39.76788654
134.5899464,40.50504737
134.5899464,40.90411187
134.5899464,41.42511275
134.5899464,62.03513172
134.5899464,42.50452682
134.5899464,27.76962419
134.5899464,40.04085775
129.7831626,45.3437045
129.7831626,45.68041518
129.7831626,27.7017278
129.7831626,50.88072452
129.7831626,43.21120355
129.7831626,41.88098853
129.7831626,42.50452682
129.7831626,42.50452682
129.7831626,47.60507004
129.7831626,38.06354855
129.7831626,47.15335119
129.7831626,45.00560818
129.7831626,27.56593501
129.7831626,42.43940171
129.7831626,28.33635121
129.7831626,27.66847242
129.7831626,28.40563324
129.7831626,27.97331336
129.7831626,27.20289716
129.7831626,45.33816194
124.9763788,31.24619657
124.9763788,43.31789788
124.9763788,53.47464381
124.9763788,69.45523738
124.9763788,27.26940791
124.9763788,31.05220688
124.9763788,27.33591867
124.9763788,40.80434575
120.169595,52.26636517
120.169595,52.26636517
120.169595,62.6309572
120.169595,27.20289716
120.169595,27.90541697
120.169595,28.31279532
120.169595,38.63166121
120.169595,28.40563324
120.169595,30.03653228
120.169595,25.44036226
120.169595,28.54419731
120.169595,28.19778715
115.3628112,52.52132305
115.3628112,62.6309572
115.3628112,63.81706559
115.3628112,27.53545092
115.3628112,54.30048564
115.3628112,52.91761627
115.3628112,70.56652118
115.3628112,27.40242942
115.3628112,27.53545092
115.3628112,41.003878
115.3628112,27.00336491
115.3628112,28.04120975
115.3628112,41.20341025
115.3628112,26.00570365
115.3628112,27.7017278
115.3628112,28.17700254
115.3628112,40.23761872
115.3628112,25.50271609
115.3628112,29.46841962
115.3628112,28.54419731
115.3628112,27.20289716
115.3628112,28.47491528
115.3628112,27.97331336
115.3628112,29.04441358
115.3628112,27.97331336
115.3628112,40.04085775
110.5560274,27.90541697
110.5560274,40.6630104
110.5560274,54.00672982
110.5560274,52.88158962
110.5560274,27.13638641
110.5560274,54.97252135
110.5560274,27.33591867
110.5560274,59.79732208
110.5560274,67.56799482
110.5560274,67.95735985
110.5560274,62.78753459
110.5560274,51.37401259
110.5560274,47.15335119
110.5560274,28.75204341
110.5560274,27.0269208
110.5560274,40.30551511
110.5560274,39.28291232
110.5560274,41.47222454
110.5560274,28.54419731
110.5560274,28.54419731
110.5560274,30.10997124
110.5560274,26.70129525
110.5560274,26.63617014
110.5560274,26.00570365
110.5560274,29.96309333
110.5560274,25.44036226
