%_utility ,power_1
0.360508785,26.06944311
0.37767587,26.32440099
0.41201004,52.52132305
0.429177125,52.26636517
0.51501255,58.79550389
0.51501255,58.77887621
0.566513805,59.19179712
0.61801506,75.19871786
0.54934672,59.63243084
0.600847975,52.88158962
0.58368089,51.88392835
0.360508785,26.19692205
0.51501255,52.26636517
0.48067838,51.8243458
0.24033919,52.52132305
0.429177125,52.26636517
0.360508785,52.70561325
0.600847975,58.92436847
0.463511295,45.3437045
0.600847975,61.88271125
0.48067838,45.79265207
0.703850485,70.04829158
0.58368089,52.0765324
0.566513805,51.31997261
0.394842955,27.90541697
0.44634421,31.24619657
0.532179635,39.76788654
0.51501255,42.71237291
0.54934672,41.47222454
0.497845465,44.20470789
0.497845465,42.60844987
0.58368089,62.03513172
0.463511295,45.68041518
0.532179635,44.85318771
0.37767587,27.06987566
0.37767587,27.13638641
0.188837935,25.75074577
0.37767587,55.96879698
0.17167085,26.00570365
0.17167085,28.40563324
0.566513805,39.08892263
0.394842955,40.6630104
0.532179635,69.80164755
0.37767587,55.28290486
0.394842955,54.00672982
0.394842955,52.88158962
0.291840445,38.91294626
0.41201004,62.6309572
0.41201004,63.81706559
0.37767587,64.85491044
0.37767587,63.47342671
0.188837935,41.06761747
0.17167085,43.77238801
0.326174615,41.88098853
0.3433417,61.42544984
0.360508785,45.3437045
0.37767587,43.66430804
0.3433417,27.00336491
0.394842955,27.13638641
0.291840445,39.6708917
0.17167085,26.13318258
0.257506275,26.26066152
0.291840445,42.71237291
0.37767587,65.65858201
0.3433417,67.90331986
0.3433417,69.24323436
0.3433417,71.44640299
0.3433417,43.07125384
0.394842955,54.97252135
0.37767587,53.97070316
0.37767587,54.10233903
0.3433417,63.97502863
0.30900753,47.48867622
0.30900753,64.13299166
0.30900753,52.83447783
0.188837935,25.81448524
0.188837935,27.49803862
0.326174615,55.70275397
0.326174615,42.86063646
0.360508785,66.51075101
0.3433417,65.3343421
0.3433417,64.69556176
0.326174615,65.5796005
0.566513805,39.96187623
0.48067838,27.7017278
0.48067838,27.20289716
0.463511295,27.7017278
0.3433417,28.54419731
0.3433417,44.6619693
0.360508785,43.55622807
0.44634421,43.31789788
0.497845465,43.88046798
0.532179635,42.40060377
0.532179635,41.77567984
0.566513805,43.12806511
0.463511295,50.88072452
0.394842955,27.33591867
0.41201004,27.53545092
0.326174615,26.83154547
0.566513805,38.81733706
0.532179635,41.269921
0.532179635,42.50452682
0.497845465,42.96594515
0.463511295,43.21120355
0.54934672,41.16876923
0.532179635,38.91294626
0.54934672,39.86488139
0.360508785,38.72172785
0.326174615,39.47690201
0.326174615,40.80434575
0.326174615,40.90411187
0.51501255,39.57389685
0.497845465,52.06129035
0.463511295,41.88098853
0.600847975,59.89847385
0.497845465,40.6630104
0.54934672,40.60481349
0.51501255,39.84409678
0.566513805,39.94247726
0.360508785,26.89667058
0.532179635,41.50270863
0.54934672,40.44685046
0.497845465,41.02466261
0.30900753,41.77567984
0.3433417,27.20289716
0.326174615,28.97374591
0.291840445,30.97738228
0.326174615,29.75801851
0.3433417,27.33591867
0.37767587,26.70129525
0.37767587,26.83154547
0.497845465,41.5733763
0.51501255,41.10364412
0.51501255,41.5733763
0.51501255,41.269921
0.51501255,42.55302424
0.463511295,42.50452682
0.58368089,61.73029078
0.58368089,61.73029078
0.48067838,45.68041518
0.51501255,42.50452682
0.54934672,40.23761872
0.497845465,39.28291232
0.41201004,54.30048564
0.360508785,38.91294626
0.3433417,42.60844987
0.30900753,51.13013984
0.30900753,52.44788409
0.3433417,66.84330477
0.360508785,68.34395359
0.326174615,68.85525498
0.44634421,53.47464381
0.360508785,40.60481349
0.188837935,26.63617014
0.37767587,41.47222454
0.154503765,25.6870063
0.257506275,25.81448524
0.154503765,26.76642036
0.154503765,26.89667058
0.188837935,41.63018757
0.27467336,42.50452682
0.326174615,53.04925213
0.326174615,52.19015493
0.360508785,65.25813187
0.37767587,64.37686442
0.17167085,25.87822471
0.27467336,26.93685416
0.257506275,26.31054459
0.188837935,25.19094695
0.13733668,27.20289716
0.27467336,25.50271609
0.13733668,26.4712789
0.13733668,27.29434945
0.154503765,65.01010219
0.3433417,54.62888247
0.24033919,55.46996634
0.188837935,13.03472156
0.37767587,62.94411199
0.37767587,67.00958164
0.360508785,65.33295646
0.394842955,59.79732208
0.17167085,26.50591992
0.360508785,54.70370707
0.360508785,56.11844617
0.223172105,42.29668072
0.3433417,10.58352325
0.3433417,10.12626184
0.3433417,8.438551534
0.360508785,8.417766925
0.188837935,26.00570365
0.326174615,39.47690201
0.188837935,26.00570365
0.3433417,51.75644941
0.30900753,50.68950611
0.326174615,67.00958164
0.27467336,67.00958164
0.3433417,69.80164755
0.37767587,54.87136958
0.3433417,53.74068682
0.360508785,52.23033851
0.41201004,52.91761627
0.3433417,62.94411199
0.3433417,63.41384417
0.3433417,64.13299166
0.360508785,64.85491044
0.394842955,67.56799482
0.394842955,67.95735985
0.44634421,69.45523738
0.360508785,57.09947974
0.360508785,68.29545616
0.360508785,66.78095094
0.394842955,62.78753459
0.326174615,53.60766531
0.20600502,63.65910256
0.37767587,53.27234028
0.188837935,56.53413836
0.3433417,51.75644941
0.326174615,65.65858201
0.3433417,69.62844246
0.3433417,70.39054482
0.3433417,71.47688709
0.37767587,54.45290611
0.37767587,54.13975132
0.394842955,51.37401259
0.37767587,51.62897047
0.360508785,63.57042156
0.30900753,47.48867622
0.30900753,64.13299166
0.30900753,52.83447783
0.17167085,25.62326683
0.360508785,55.9798821
0.223172105,59.04491921
0.30900753,54.45290611
0.27467336,27.6338314
0.3433417,66.71028326
0.3433417,63.50113953
0.37767587,62.5422762
0.429177125,62.6309572
0.3433417,42.08883462
0.17167085,26.76642036
0.360508785,55.77896421
0.3433417,64.37686442
0.326174615,68.51438738
0.326174615,71.12216308
0.41201004,70.56652118
0.3433417,68.17351979
0.37767587,67.67468915
0.37767587,51.50149153
0.37767587,51.37401259
0.291840445,27.7017278
0.30900753,28.33635121
0.30900753,28.90307824
0.30900753,27.6338314
0.360508785,29.46980526
0.27467336,31.16998633
0.48067838,27.76962419
0.291840445,29.03748538
0.326174615,28.97374591
0.291840445,28.90307824
0.291840445,28.40563324
0.326174615,39.6708917
0.326174615,27.97331336
0.291840445,28.75204341
0.326174615,29.39775195
0.30900753,41.67452807
0.326174615,40.20574899
0.291840445,40.76416217
0.291840445,39.08892263
0.291840445,42.43940171
0.27467336,40.76416217
0.30900753,27.36224584
0.326174615,27.92065902
0.30900753,25.56506992
0.30900753,39.57389685
0.30900753,38.06354855
0.30900753,38.63166121
0.30900753,28.33635121
0.326174615,28.12850511
0.27467336,42.29668072
0.27467336,42.40060377
0.30900753,28.19778715
0.30900753,27.76962419
0.30900753,27.40242942
0.30900753,27.33591867
0.497845465,26.57104503
0.41201004,27.40242942
0.41201004,27.53545092
0.326174615,26.13318258
0.37767587,41.37107277
0.463511295,42.50452682
0.532179635,28.69107522
0.360508785,28.26706918
0.360508785,28.04120975
0.44634421,27.26940791
0.429177125,27.20289716
0.41201004,41.003878
0.532179635,42.86063646
0.532179635,40.44685046
0.532179635,43.12806511
0.54934672,38.44321408
0.291840445,40.04085775
0.394842955,47.15335119
0.463511295,47.60507004
0.48067838,46.80832666
0.463511295,38.06354855
0.429177125,27.90541697
0.394842955,28.75204341
0.41201004,27.00336491
0.3433417,27.83752058
0.41201004,28.04120975
0.394842955,27.0269208
0.37767587,27.97331336
0.394842955,40.30551511
0.48067838,44.55250369
0.463511295,47.15335119
0.463511295,45.00560818
0.463511295,27.56593501
0.48067838,28.12850511
0.497845465,28.76174289
0.394842955,39.28291232
0.48067838,39.76788654
0.497845465,41.30317638
0.51501255,27.15717102
0.58368089,25.37800843
0.360508785,41.83526239
0.51501255,42.50452682
0.497845465,59.60194675
0.532179635,42.08883462
0.497845465,42.14287461
0.532179635,40.13923823
0.532179635,26.13318258
0.3433417,39.37990716
0.48067838,40.50504737
0.41201004,41.20341025
0.326174615,38.06631983
0.326174615,54.23397489
0.497845465,54.27277282
0.51501255,54.30048564
0.532179635,55.26766281
0.532179635,53.04925213
0.54934672,39.19977388
0.41201004,26.00570365
0.48067838,40.90411187
0.51501255,39.54895532
0.54934672,40.50504737
0.54934672,27.13638641
0.394842955,41.47222454
0.54934672,39.94247726
0.48067838,41.42511275
0.463511295,42.43940171
0.48067838,62.03513172
0.51501255,40.30551511
0.497845465,39.94247726
0.54934672,26.57104503
0.54934672,42.50452682
0.48067838,42.50452682
0.30900753,27.76962419
0.3433417,28.61347934
0.3433417,28.54419731
0.326174615,28.97374591
0.3433417,31.0937761
0.3433417,30.78893516
0.27467336,31.2711381
0.257506275,31.42632985
0.291840445,31.0937761
0.326174615,28.69107522
0.326174615,29.32569863
0.30900753,28.47491528
0.291840445,27.83752058
0.291840445,28.47491528
0.3433417,28.54419731
0.326174615,28.97374591
0.30900753,28.90307824
0.27467336,30.30396093
0.27467336,30.22913633
0.27467336,31.50392573
0.291840445,31.0937761
0.326174615,30.18341019
0.291840445,31.47482728
0.30900753,28.19778715
0.291840445,27.90541697
0.30900753,27.90541697
0.30900753,27.83752058
0.326174615,28.47491528
0.30900753,30.10997124
0.291840445,30.60325931
0.30900753,31.24619657
0.291840445,31.01756586
0.291840445,30.45361012
0.291840445,30.47716601
0.291840445,27.6338314
0.291840445,27.7017278
0.41201004,27.7017278
0.291840445,18.93062251
0.394842955,28.54419731
0.394842955,28.54419731
0.20600502,28.47491528
0.291840445,40.13923823
0.37767587,41.37107277
0.360508785,30.10997124
0.27467336,20.40217287
0.30900753,19.36294239
0.27467336,18.83917022
0.291840445,18.88489637
0.37767587,25.3156546
0.291840445,26.63617014
0.37767587,26.38814046
0.37767587,25.75213141
0.463511295,28.33635121
0.394842955,30.10997124
0.24033919,20.9688999
0.24033919,20.9688999
0.257506275,27.90541697
0.394842955,26.70129525
0.37767587,26.83154547
0.3433417,28.68276137
0.291840445,18.97634865
0.41201004,28.17700254
0.429177125,28.31279532
0.463511295,27.66847242
0.429177125,38.63166121
0.360508785,27.26940791
0.41201004,40.23761872
0.3433417,27.97331336
0.27467336,20.65158819
0.27467336,20.12643038
0.291840445,19.5985013
0.27467336,19.64561308
0.360508785,25.62742375
0.30900753,39.76788654
0.24033919,25.24083001
0.223172105,40.92628212
0.429177125,28.40563324
0.429177125,30.03653228
0.37767587,29.81621542
0.360508785,30.82773309
0.360508785,13.50168246
0.291840445,26.06944311
0.3433417,26.26066152
0.24033919,13.80098083
0.30900753,26.83154547
0.30900753,27.7017278
