%utility_total,Power_T
0.532179635,90.98809302
0.51501255,100.2317018
0.506429008,74.18027199
0.489261923,85.30003817
0.489261923,70.27415101
0.463511295,81.57266483
0.454927753,81.20962698
0.454927753,70.49308223
0.454927753,115.5721294
0.454927753,55.96879698
0.44634421,41.44589736
0.44634421,99.91161878
0.44634421,70.49308223
0.44634421,83.85758626
0.44634421,72.05469924
0.437760668,106.6250477
0.437760668,89.2283294
0.437760668,93.38663698
0.437760668,83.55135968
0.437760668,79.51775976
0.437760668,93.05269759
0.437760668,66.7934217
0.437760668,65.82070197
0.437760668,90.12761018
0.437760668,67.60540712
0.437760668,68.74163245
0.429177125,89.88927999
0.429177125,89.56781136
0.429177125,71.58219578
0.429177125,79.22816086
0.429177125,54.97252135
0.429177125,69.53699018
0.429177125,69.36655638
0.429177125,67.77029836
0.429177125,68.07098238
0.429177125,93.15662063
0.429177125,92.59543617
0.429177125,65.74033481
0.429177125,96.32003823
0.429177125,68.57396993
0.429177125,69.98593775
0.429177125,66.94584217
0.429177125,53.70743144
0.429177125,68.07098238
0.429177125,83.30887256
0.420593583,90.46293522
0.420593583,90.72620694
0.420593583,67.60540712
0.420593583,71.18728819
0.420593583,71.23301433
0.420593583,70.96142877
0.420593583,71.40760505
0.420593583,66.54677767
0.420593583,69.93051213
0.420593583,70.32403407
0.420593583,84.10007337
0.420593583,89.74517336
0.420593583,117.2529115
0.420593583,69.87785778
0.420593583,58.50729064
0.420593583,71.07089438
0.420593583,71.30506765
0.420593583,55.10692849
0.41201004,75.33035372
0.41201004,67.84096603
0.41201004,69.07695749
0.41201004,70.04829158
0.41201004,69.53699018
0.41201004,71.40760505
0.41201004,77.0069789
0.41201004,91.54373492
0.41201004,67.27562465
0.41201004,69.70742398
0.41201004,69.80164755
0.41201004,68.17351979
0.41201004,72.39972376
0.41201004,66.71028326
0.41201004,56.62559064
0.41201004,72.5410591
0.41201004,68.9716488
0.41201004,85.15731718
0.41201004,82.08673751
0.403426498,80.10388575
0.403426498,73.85464643
0.403426498,104.2902432
0.403426498,58.23016251
0.403426498,71.23301433
0.403426498,81.24288236
0.403426498,67.90331986
0.403426498,69.13931132
0.403426498,72.45514938
0.403426498,66.24886493
0.403426498,81.61700533
0.403426498,88.38447425
0.403426498,99.83402291
0.403426498,99.88252033
0.403426498,53.70743144
0.403426498,89.68143389
0.403426498,83.67052477
0.403426498,83.96982315
0.403426498,65.17222215
0.403426498,68.29545616
0.403426498,69.14069696
0.394842955,74.8079672
0.394842955,87.94661181
0.394842955,55.40345559
0.394842955,73.6966834
0.394842955,69.62844246
0.394842955,66.78095094
0.394842955,54.77437474
0.394842955,88.22789686
0.394842955,67.67468915
0.394842955,71.83161109
0.394842955,69.19612258
0.394842955,69.97485263
0.394842955,68.63355248
0.386259413,80.29926108
0.386259413,76.88642817
0.386259413,82.03408317
0.386259413,70.36560329
0.386259413,77.45176955
0.386259413,70.67460115
0.386259413,86.74249008
0.386259413,98.97492571
0.386259413,95.82536452
0.386259413,73.10778613
0.386259413,75.00611381
0.386259413,56.81958033
0.386259413,57.52348578
0.386259413,71.7567865
0.386259413,69.87785778
0.386259413,72.03530027
0.386259413,91.9247861
0.37767587,81.06552036
0.37767587,81.24011108
0.37767587,81.24011108
0.37767587,59.15161354
0.37767587,76.1340253
0.37767587,91.2430509
0.37767587,89.22555812
0.37767587,70.38084534
0.37767587,109.4808531
0.37767587,72.39279555
0.37767587,72.5410591
0.37767587,76.77419128
0.37767587,95.91265988
0.37767587,84.61414605
0.37767587,79.83784274
0.37767587,55.10692849
0.37767587,54.97252135
0.37767587,75.00611381
0.37767587,67.03729446
0.37767587,55.69444013
0.369092328,75.57284084
0.369092328,55.81914779
0.369092328,66.30706184
0.369092328,72.03530027
0.369092328,93.4794749
0.369092328,99.76474088
0.369092328,88.38447425
0.369092328,93.46838978
0.369092328,85.65476218
0.369092328,95.39304464
0.369092328,91.27076372
0.369092328,102.8200785
0.369092328,108.5552451
0.369092328,76.50814827
0.369092328,69.70742398
0.369092328,79.34178339
0.369092328,56.38033225
0.369092328,78.96766042
0.369092328,75.38439371
0.360508785,54.93788033
0.360508785,53.83491038
0.360508785,80.01243347
0.360508785,73.6966834
0.360508785,56.21821229
0.360508785,72.43575041
0.360508785,37.02293242
0.360508785,90.39365319
0.360508785,87.70273905
0.360508785,95.63137483
0.360508785,86.01641439
0.360508785,80.63320048
0.360508785,97.98973521
0.360508785,85.44968736
0.360508785,56.21821229
0.360508785,68.90929497
0.360508785,54.56929992
0.351925243,73.36967221
0.351925243,90.45323573
0.351925243,95.17272777
0.351925243,89.60245238
0.351925243,85.51896939
0.351925243,54.60532658
0.351925243,73.26159224
0.351925243,34.04519067
0.351925243,76.69520976
0.351925243,93.64575178
0.351925243,89.67450569
0.351925243,54.80485883
0.351925243,70.84087803
0.351925243,58.07912768
0.351925243,56.6546891
0.351925243,69.4150538
0.351925243,54.83811421
0.351925243,68.74163245
0.3433417,55.81083394
0.3433417,54.57345684
0.3433417,99.41971635
0.3433417,73.68836956
0.3433417,90.95622329
0.3433417,73.63571521
0.3433417,68.74163245
0.3433417,55.94662673
0.3433417,95.41382925
0.3433417,80.05400269
0.3433417,74.12068944
0.3433417,67.65390454
0.3433417,97.36065435
0.3433417,56.92904594
0.3433417,66.78095094
0.3433417,70.96142877
0.334758158,53.8390673
0.334758158,54.67183733
0.334758158,81.60869149
0.334758158,54.70370707
0.334758158,54.83811421
0.334758158,74.89941948
0.334758158,71.72075984
0.334758158,75.09895173
0.334758158,73.56920446
0.334758158,55.51014992
0.334758158,56.24315382
0.334758158,70.72864114
0.334758158,74.2079848
0.334758158,24.18497184
0.334758158,72.24868893
0.334758158,79.32654135
0.334758158,56.01452312
0.334758158,70.49446787
0.334758158,78.96766042
0.334758158,71.79835572
0.334758158,64.93666324
0.326174615,75.68507773
0.326174615,69.40396868
0.326174615,73.7479521
0.326174615,65.65858201
0.326174615,57.51932886
0.326174615,93.29934162
0.326174615,53.64784889
0.326174615,74.68464518
0.326174615,70.50416735
0.326174615,70.50416735
0.326174615,74.75531285
0.326174615,70.03027825
0.326174615,70.07600439
0.326174615,67.44051588
0.326174615,55.94662673
0.326174615,58.21907738
0.326174615,69.24323436
0.326174615,56.39973122
0.326174615,57.94472054
0.326174615,57.09947974
0.326174615,83.9919934
0.317591073,91.40378522
0.317591073,58.23016251
0.317591073,74.62506263
0.317591073,54.80485883
0.317591073,67.11073341
0.317591073,60.06197944
0.317591073,54.57761377
0.317591073,73.05651742
0.317591073,70.27692229
0.317591073,70.42241455
0.317591073,75.61302441
0.317591073,53.97070316
0.317591073,55.67504116
0.317591073,67.50841228
0.30900753,73.24912147
0.30900753,63.72284203
0.30900753,87.25656276
0.30900753,54.22011848
0.30900753,57.53457091
0.30900753,57.23942945
0.30900753,61.80511538
0.30900753,97.33017026
0.30900753,92.21438499
0.30900753,73.03019025
0.30900753,79.16719267
0.30900753,76.00238944
0.30900753,54.54990095
0.30900753,57.74518828
0.30900753,92.4499439
0.30900753,84.36334509
0.30900753,87.25656276
0.30900753,71.36049327
0.30900753,54.72449168
0.30900753,52.83447783
0.30900753,66.71028326
0.30900753,65.90106913
0.30900753,65.90106913
0.30900753,57.80615647
0.30900753,57.59553909
0.30900753,56.1059754
0.30900753,54.80485883
0.30900753,54.67183733
0.30900753,56.51751067
0.300423988,53.45247356
0.300423988,60.21994248
0.300423988,79.95146528
0.300423988,55.18036745
0.300423988,52.39384411
0.300423988,34.69921306
0.300423988,53.97901701
0.300423988,84.50745172
0.300423988,53.82105397
0.291840445,81.06552036
0.291840445,57.79784263
0.291840445,82.39434974
0.291840445,58.64724034
0.291840445,54.31018512
0.291840445,70.96142877
0.291840445,67.84927987
0.291840445,72.76137596
0.291840445,91.9621984
0.291840445,78.38707699
0.291840445,54.98083519
0.291840445,66.67425661
0.291840445,56.92904594
0.291840445,69.80164755
0.291840445,69.80164755
0.291840445,72.03530027
0.283256903,54.54990095
0.283256903,56.94983055
0.283256903,73.88235925
0.283256903,62.84988842
0.283256903,79.38058133
0.27467336,89.37382167
0.27467336,63.10207502
0.27467336,66.24886493
0.27467336,89.37382167
0.27467336,83.63449811
0.27467336,55.51846377
0.27467336,69.80164755
0.27467336,72.1863351
0.27467336,72.3636971
0.266089818,93.76075996
0.266089818,76.22132066
0.266089818,93.76075996
0.248922733,62.27761884
0.24033919,81.79436734
0.231755648,89.98627484
