%utility_total,kWpT_T
0.334758158,1.009781008
0.360508785,0.95679057
0.37767587,1.347652049
0.37767587,1.350554485
0.429177125,1.315019446
0.429177125,1.310316577
0.420593583,1.350420035
0.437760668,1.529267081
0.420593583,1.354350124
0.463511295,1.104956467
0.454927753,1.120794326
0.334758158,1.025400063
0.403426498,1.246665679
0.386259413,1.30524883
0.291840445,1.744020298
0.37767587,1.350554485
0.334758158,1.530615423
0.437760668,1.279755084
0.369092328,1.285557688
0.437760668,1.339395506
0.386259413,1.249773897
0.51501255,1.221935075
0.437760668,1.198333287
0.437760668,1.140481481
0.3433417,1.0205935
0.37767587,0.983350169
0.420593583,1.00920555
0.420593583,1.062675448
0.429177125,1.04719917
0.394842955,1.189554377
0.403426498,1.149408073
0.437760668,1.334605989
0.37767587,1.265669729
0.41201004,1.147950197
0.334758158,1.025997797
0.334758158,1.028518676
0.300423988,1.117105116
0.334758158,1.404779375
0.283256903,1.20913364
0.283256903,1.262329623
0.44634421,0.583005271
0.429177125,1.159054475
0.386259413,1.333448025
0.44634421,1.405422589
0.326174615,1.456870476
0.351925243,1.308961882
0.334758158,1.345161883
0.291840445,1.243446169
0.394842955,1.398477742
0.351925243,1.613743582
0.37767587,1.516845682
0.37767587,1.483306413
0.326174615,1.33596471
0.283256903,1.637650012
0.283256903,1.393108201
0.291840445,1.772608352
0.30900753,1.488312732
0.386259413,1.14377916
0.360508785,0.937581397
0.369092328,0.949530728
0.291840445,1.261719867
0.291840445,1.168413708
0.3433417,0.997966011
0.37767587,1.170027528
0.403426498,1.623080649
0.351925243,1.697942339
0.37767587,1.820035143
0.3433417,1.818054115
0.30900753,1.294752964
0.334758158,1.408521711
0.334758158,1.379830468
0.326174615,1.419582529
0.351925243,1.598565063
0.30900753,1.772923016
0.27467336,2.042935373
0.266089818,2.212349327
0.30900753,1.101671816
0.30900753,1.169016538
0.351925243,1.525713115
0.3433417,1.347513837
0.360508785,1.393485539
0.317591073,1.8069941
0.3433417,1.663285132
0.283256903,1.759521641
0.437760668,0.957982981
0.394842955,0.880994707
0.429177125,0.804210853
0.403426498,0.906242492
0.317591073,1.151172896
0.317591073,1.475289536
0.3433417,1.346550966
0.360508785,1.283491305
0.394842955,1.171883365
0.420593583,1.063358042
0.420593583,1.059303845
0.506429008,0.919667178
0.386259413,1.258963411
0.351925243,0.974193953
0.360508785,0.979088655
0.317591073,1.083456843
0.437760668,0.944031772
0.429177125,1.017279194
0.420593583,1.065964312
0.403426498,1.108607321
