%utility_1 ,kWpT_1
0.360508785,0.908043673
0.37767587,0.875245919
0.41201004,1.600732246
0.429177125,1.529243233
0.51501255,1.433564176
0.51501255,1.433158756
0.566513805,1.312024254
0.61801506,1.527925619
0.54934672,1.363097158
0.600847975,1.105174192
0.58368089,1.116215918
0.360508785,0.912483985
0.51501255,1.274369361
0.48067838,1.353848521
0.24033919,2.744112421
0.429177125,1.529243233
0.360508785,1.835827427
0.600847975,1.231462439
0.463511295,1.228421791
0.600847975,1.293288948
0.48067838,1.196277798
0.703850485,1.249706327
0.58368089,1.120359546
0.566513805,1.137540201
0.394842955,0.887472609
0.44634421,0.879059133
0.532179635,0.938350511
0.51501255,1.041421939
0.54934672,0.94798536
0.497845465,1.114974166
0.497845465,1.074711792
0.58368089,1.334605989
0.463511295,1.237543735
0.532179635,1.058341674
0.37767587,0.900031807
0.37767587,0.902243188
0.188837935,1.712345527
0.37767587,1.860876574
0.17167085,1.902229387
0.17167085,2.077776131
0.6866834,0.237195883
0.566513805,0.866431111
0.394842955,1.293200813
0.532179635,1.647017665
0.37767587,1.838071714
0.394842955,1.717569512
0.394842955,1.681786814
0.291840445,1.674323877
0.41201004,1.908851243
0.41201004,1.945001169
0.37767587,2.156326205
0.37767587,2.110393992
0.188837935,2.730870465
0.17167085,3.201802341
0.326174615,1.612343609
0.3433417,2.246532095
0.360508785,1.579399445
0.37767587,1.451771207
0.3433417,0.98760247
0.394842955,0.863015223
0.291840445,1.706936317
0.17167085,1.911554041
0.257506275,1.280585797
0.291840445,1.837803422
0.37767587,2.183047051
0.3433417,2.483449252
0.3433417,2.532454362
0.3433417,2.613031534
0.3433417,1.575258372
0.394842955,1.748284464
0.37767587,1.794443023
0.37767587,1.798819713
0.3433417,2.339778634
0.30900753,1.929797929
0.30900753,2.606173183
0.30900753,2.147035336
0.188837935,1.716584006
0.188837935,1.828535137
0.326174615,2.144457009
0.326174615,1.650058313
0.360508785,2.316684188
0.3433417,2.389493229
0.3433417,2.366130917
0.326174615,2.524698042
0.566513805,0.885780689
0.48067838,0.723674223
0.48067838,0.710642875
0.463511295,0.750476972
0.3433417,1.043955812
0.3433417,1.633436104
0.360508785,1.517138558
0.44634421,1.218676124
0.497845465,1.106795871
0.532179635,1.000471277
0.532179635,0.985725768
0.566513805,0.955961302
0.463511295,1.378427092
0.394842955,0.869360923
0.41201004,0.839218847
0.326174615,1.032966804
0.566513805,0.860411242
0.532179635,0.973792042
0.532179635,1.002923412
0.497845465,1.083728886
0.463511295,1.170649479
0.54934672,0.941048882
0.532179635,0.91817761
0.54934672,0.911244197
0.360508785,1.348744576
0.326174615,1.519790552
0.326174615,1.570894776
0.326174615,1.574735594
0.51501255,0.964898964
